job_title,company_name,time_posted,num_applicants,employment_type,salary
Director of Data Analytics,WiserWulff,1 day ago,50 applicants,Director,
Senior Data Scientist,"Qventus, Inc",,111 applicants,Mid-Senior level,"Base pay range

      $170,000.00/yr - $190,000.00/yr"
"Senior SWE, Machine Learning",Lyft,1 day ago,44 applicants,Mid-Senior level,
Safety Analyst,VDart,,,Mid-Senior level,
"Staff, Data Scientist",Walmart,5 days ago,,Entry level,"Base pay range

      $143,000.00/yr - $286,000.00/yr"
Fraud Analyst,Newegg,,37 applicants,Mid-Senior level,
AI Software Engineer,Zoom,,,Not Applicable,
Data Analyst / Data Analytics Associate,Verdant Infotech Solutions,4 days ago,73 applicants,Entry level,
Data Scientist,Actalent,4 days ago,93 applicants,Entry level,
,,,,,
Business Systems Analyst,Vernovis,,78 applicants,Mid-Senior level,"Base pay range

      $110,000.00/yr - $115,000.00/yr"
Data and Analytics Specialist,UBS,6 days ago,,Not Applicable,
Are you a Document Administrator looking for career change to Data Science,eStaffing Inc.,3 weeks ago,,Entry level,"Base pay range

      $40.00/hr - $60.00/hr"
Digital Associate,PLUS Communications,2 days ago,,Associate,
,,,,,
